galaxy,chi2,chi2_red,n_dof,success,r_core,AIC,BIC,convergence_info,log_rho_s,log_r_s,Y_disk,Y_bulge
UGC05005,0.4135679387863221,0.05908113411233173,7,True,1.9780485813952084,8.413567938786322,10.005149029979805,"DE: nit=21, nfev=1390",5.905192456734108,1.5234263773277483,0.6546189889614715,1.305301123602951
F568-V1,1.2333240498108726,0.12333240498108726,10,True,1.687216797662697,9.233324049810873,11.789553368271907,"DE: nit=41, nfev=2565",7.136941645450184,0.917513745665532,1.2,1.1136492644142488
NGC3877,8.583611300038118,0.9537345888931242,9,True,1.4160152877682208,16.58361130003812,18.843408729884267,"DE: nit=48, nfev=3000",7.5733323000597,0.876705492836223,0.11643784719763346,1.4307286094605898
D631-7,4.764397387964385,0.39703311566369875,12,True,3.0551368647590635,12.764397387964385,15.85475227692351,"DE: nit=41, nfev=2585",6.10432375881819,1.36622004569242,0.1,1.1902825792859044
NGC2683,6.661931001569829,0.9517044287956898,7,True,1.373570594299441,14.66193100156983,16.253512092763312,"DE: nit=45, nfev=2850",7.795203880934917,0.7298886051381982,0.5290173925550085,1.5
NGC2366,3.60676501787153,0.1639438644487059,22,True,1.7854890848174885,11.60676501787153,16.639151169957458,"DE: nit=46, nfev=2885",7.667563725269723,0.16747725070013486,0.1,1.0196920464296688
IC4202,381.3913465621669,13.62111952007739,28,True,1.311252763490635,389.3913465621669,395.2542901733658,"DE: nit=50, nfev=3135",7.516767842276252,1.0804002414196698,0.1657765801870932,0.3
UGC11914,25.18354457483401,0.4128449930300657,61,True,80.56447820833667,33.18354457483401,41.88109365441656,"DE: nit=47, nfev=2960",6.390368227644382,2.748249979398714,0.6152975793249505,1.015592682523351
UGC03205,170.11490880427334,3.8662479273698485,44,True,1.9418462302632113,178.11490880427334,185.5997128479049,"DE: nit=32, nfev=2150",5.44509883172981,2.1809981446105406,0.8536445644944659,1.245552342992546
F563-1,4.418688625706052,0.3398991250543117,13,True,1.7782217995574108,12.418688625706052,15.751542001930916,"DE: nit=22, nfev=1445",6.881680101772877,1.0338772502093578,1.1301024890625515,1.2058502037467285
NGC2903,46.352134928649626,1.5450711642883208,30,True,1.1575021690191847,54.352134928649626,60.45757702711427,"DE: nit=48, nfev=2980",8.335327634592508,0.562519479837753,0.1,1.3156040622184595
UGC01230,3.5764561463175557,0.5109223066167937,7,True,1.8342363371621,11.576456146317556,13.168037237511038,"DE: nit=22, nfev=1450",6.792279078225735,1.0232710672392484,1.1236137210729749,1.3637825534232766
NGC0289,47.812568036380505,1.9921903348491876,24,True,1.8320120330704566,55.812568036380505,61.14138607708132,"DE: nit=29, nfev=1860",6.383929006677577,1.4424310371770515,0.6879973294874665,0.858592585648209
NGC7814,5.05363688144509,0.3609740629603636,14,True,1.5825023382297627,13.05363688144509,16.61512391302975,"DE: nit=65, nfev=4055",6.877614591192788,1.303799008519596,1.2,0.5749388242840016
DDO154,3.6251463368595855,0.4531432921074482,8,True,1.7446588828870817,11.625146336859586,13.564772936011586,"DE: nit=25, nfev=2150",6.448773009440624,0.9173860416613643,0.7561031831548993,1.0221329106712842
UGC06446,9.482905552838535,0.7294542732952719,13,True,1.8420388568688773,17.482905552838535,20.8157589290634,"DE: nit=36, nfev=2300",6.891929534503992,0.8736731614095233,1.2,1.0077136108923777
UGC05750,0.5605545892930762,0.09342576488217937,6,True,1.9074016908389995,8.560554589293076,9.770894961269258,"DE: nit=25, nfev=1640",6.097319968882494,1.2795688134531369,0.9763443786733105,0.7550863239833593
NGC6946,75.18828500865173,1.3923756483083654,54,True,1.7869724246452445,83.18828500865173,91.4300570508374,"DE: nit=34, nfev=2225",6.585015084061925,1.311515015714969,0.5505804059229854,0.5587363350546596
UGC08699,25.95690250304185,0.7015379054876175,37,True,1.8731349208740076,33.956902503041846,40.81119076985908,"DE: nit=46, nfev=2925",6.063184774776674,1.6971048335436358,1.1150276944901418,0.6281433472810394
UGC05986,18.828311691347565,1.711664699213415,11,True,1.738251360541051,26.828311691347565,29.660512495756407,"DE: nit=29, nfev=1890",6.868838874935329,1.1166532143404035,0.8438529885611963,0.7490386412846333
NGC2998,34.67644849350122,3.8529387215001356,9,True,1.9409362514529689,42.67644849350122,44.936245923347364,"DE: nit=29, nfev=1915",5.739837691294606,1.8732321078937753,0.836405296888089,0.3870478047859447
NGC5033,51.64476295564713,2.869153497535952,18,True,1.255752154356757,59.64476295564713,64.00893276908039,"DE: nit=42, nfev=2745",7.879098455880632,0.8306817857551564,0.1,0.4608173812362241
UGC05721,12.8492699351803,0.6762773650094895,19,True,1.4816136312865396,20.849269935180303,25.3912467988969,"DE: nit=23, nfev=1510",8.235545764303444,0.11890600713628927,1.1756979063372963,0.7197330312920641
NGC3521,4.554028963072908,0.12308186386683535,37,True,1.798707585228479,12.55402896307291,19.408317229890137,"DE: nit=28, nfev=2280",5.694799222636228,2.180217466026886,0.5943266195363308,1.4150773289170884
UGC08550,18.282886816454003,2.611840973779143,7,True,1.743698210292757,26.282886816454003,27.874467907647485,"DE: nit=39, nfev=2475",6.971951178039906,0.6450354970910022,1.2,1.2904919138796236
UGC11820,12.974563000519696,2.162427166753283,6,True,1.9530156258010907,20.974563000519694,22.184903372495878,"DE: nit=36, nfev=2260",6.234223974483734,1.2520325190751105,1.2,0.30945307092635943
NGC5055,27.14884856198699,1.1312020234161246,24,True,1.6986513719979317,35.148848561986995,40.477666602687805,"DE: nit=35, nfev=2225",6.723693957285475,1.2979453536946632,0.40984741306193956,0.9727285864577925
UGC03546,11.187753253495224,0.4302982020575086,26,True,1.5871310265519762,19.187753253495224,24.792542780143847,"DE: nit=55, nfev=3495",7.0150746858623725,1.1652458276587376,0.5271888691121728,0.4461568026425216
NGC4183,5.784800373407318,0.3044631775477536,19,True,1.850792530153955,13.784800373407318,18.326777237123917,"DE: nit=28, nfev=1800",6.740559209721875,1.0391558392868891,0.8508237347104578,1.0115647208906777
UGC07089,0.9922594912599815,0.12403243640749768,8,True,1.9457273177662238,8.992259491259981,10.931886090411982,"DE: nit=38, nfev=2405",5.440725807315667,1.8484253253837908,0.986722082935426,1.0928008349305887
UGC07151,5.540168721763245,0.7914526745376065,7,True,1.7700780576775095,13.540168721763244,15.131749812956727,"DE: nit=29, nfev=2115",6.695441294030536,0.8027894051034463,1.0869715316045638,1.0892532756197142
UGCA444,11.637579863046446,0.3636743707202014,32,True,1.0774280823392053,19.637579863046447,25.971655616870883,"DE: nit=31, nfev=1990",7.390352577641807,0.15758295307100112,1.2,1.2294696042722302
NGC4157,3.3744499812891227,0.25957307548377867,13,True,1.9710957438924277,11.374449981289123,14.707303357513988,"DE: nit=58, nfev=3955",5.253230414703438,2.326157632662227,0.5381534120137458,0.3
