galaxy,profile,chi2,chi2_red,n_dof,AIC,BIC,success,r_core
UGC08699,nfw,23.23174137453975,0.6278849020145879,37,31.23174137453975,38.08602964135698,True,0.0
UGC05986,nfw,66.36866644819929,6.0335151316544815,11,74.36866644819929,77.20086725260813,True,0.0
NGC2998,nfw,27.410939598728564,3.045659955414285,9,35.41093959872856,37.67073702857471,True,0.0
NGC5033,nfw,48.972151556197915,2.7206750864554397,18,56.972151556197915,61.33632136963118,True,0.0
UGC05721,nfw,17.58833491698489,0.9257018377360469,19,25.58833491698489,30.13031178070149,True,0.0
NGC3521,nfw,8.64815237182503,0.233733847887163,37,16.64815237182503,23.502440638642263,True,0.0
UGC08550,nfw,4.672191725971405,0.6674559608530579,7,12.672191725971405,14.263772817164888,True,0.0
UGC11820,nfw,3.464571677170288,0.5774286128617147,6,11.464571677170287,12.67491204914647,True,0.0
NGC5055,nfw,22.320976383273926,0.9300406826364136,24,30.320976383273926,35.64979442397474,True,0.0
UGC03546,nfw,11.930433773312673,0.4588628374351028,26,19.93043377331267,25.535223299961295,True,0.0
NGC4183,nfw,3.45993643280789,0.18210191751620472,19,11.45993643280789,16.00191329652449,True,0.0
UGC07089,nfw,2.2069913310967246,0.2758739163870906,8,10.206991331096724,12.146617930248727,True,0.0
UGC07151,nfw,16.69742123496676,2.3853458907095373,7,24.69742123496676,26.289002326160244,True,0.0
UGCA444,nfw,2.622258885032497,0.08194559015726553,32,10.622258885032497,16.956334638856937,True,0.0
NGC4157,nfw,3.854838327839495,0.2965260252184227,13,11.854838327839495,15.18769170406436,True,0.0
NGC2841,nfw,63.54749273343315,1.3814672333355034,46,71.54749273343316,79.19558475514573,True,0.0
UGC06787,nfw,560.6711866378386,8.368226666236396,67,568.6711866378386,577.7219061460038,True,0.0
UGC02885,nfw,12.517075347424662,0.8344716898283108,15,20.51707534742466,24.294831264090423,True,0.0
NGC2915,nfw,18.71854090663377,0.7199438810243758,26,26.71854090663377,32.32333043328239,True,0.0
NGC3726,nfw,19.49498479141246,2.4368730989265575,8,27.49498479141246,29.434611390564463,True,0.0
UGC07603,nfw,14.235656148997446,1.7794570186246808,8,22.235656148997446,24.17528274814945,True,0.0
UGC05253,nfw,143.5681242201713,2.080697452466251,69,151.5681242201713,160.72996198476488,True,0.0
UGC12506,nfw,4.229778229397734,0.15665845294065683,27,12.229778229397734,17.96572704733832,True,0.0
NGC6503,nfw,31.434475059358608,1.1642398170132817,27,39.434475059358604,45.17042387729919,True,0.0
NGC6195,nfw,33.80702429537317,1.7793170681775352,19,41.80702429537317,46.34900115908977,True,0.0
NGC4010,nfw,20.84006860299504,2.60500857537438,8,28.84006860299504,30.77969520214704,True,0.0
UGC07125,nfw,9.09640439582934,1.0107115995365934,9,17.09640439582934,19.356201825675488,True,0.0
UGC02916,nfw,293.3911579141922,7.522850202928005,39,301.3911579141922,308.4359583769665,True,0.0
NGC0024,nfw,15.497473518268626,0.619898940730745,25,23.497473518268627,28.96665683821452,True,0.0
NGC7331,nfw,24.162975262230244,0.7550929769446951,32,32.16297526223025,38.497051016054684,True,0.0
UGC08286,nfw,29.38993962483651,2.2607645865258856,13,37.389939624836515,40.722793001061376,True,0.0
F583-4,nfw,1.2243481356626318,0.15304351695782897,8,9.224348135662632,11.163974734814634,True,0.0
ESO116-G012,nfw,30.1515560650897,2.741050551371791,11,38.1515560650897,40.98375686949854,True,0.0
F571-8,nfw,33.190993903218576,3.6878882114687306,9,41.190993903218576,43.45079133306472,True,0.0
NGC3741,nfw,6.504058984369274,0.38259170496289846,17,14.504058984369273,18.682148735262967,True,0.0
UGC02953,nfw,427.039855478304,3.847205905209946,111,435.039855478304,446.019583991757,True,0.0
NGC1090,nfw,52.47029983899256,2.623514991949628,20,60.47029983899256,65.18251516038434,True,0.0
KK98-251,nfw,26.755127362497007,2.432284305681546,11,34.75512736249701,37.58732816690585,True,0.0
UGC00731,nfw,2.9958508162508566,0.3744813520313571,8,10.995850816250856,12.935477415402858,True,0.0
NGC3198,nfw,51.96895759657949,1.3676041472784077,38,59.96895759657949,66.91963606971296,True,0.0
NGC5585,nfw,61.3176214516428,3.06588107258214,20,69.3176214516428,74.02983677303459,True,0.0
UGC05716,nfw,3.2898406407289924,0.41123008009112405,8,11.289840640728993,13.229467239880993,True,0.0
UGC02487,nfw,53.43219146125768,4.110168573942898,13,61.43219146125768,64.76504483748255,True,0.0
NGC3109,nfw,90.29510185408157,4.299766754956265,21,98.29510185408157,103.17060515355436,True,0.0
